"id_auto";"SANDRE";"auteur_apa";"cd_apa"
121078;"7276";"REF_OMNIDIA";"CBRO"
121083;"7284";"REF_OMNIDIA";"CCAN"
121085;"7286";"REF_OMNIDIA";"CCNO"
121087;"7288";"REF_OMNIDIA";"CDEL"
121092;"7297";"REF_OMNIDIA";"CFOM"
121096;"7302";"REF_OMNIDIA";"CHEB"
121099;"7303";"REF_OMNIDIA";"CHLM"
121101;"7306";"REF_OMNIDIA";"CHCU"
121104;"7308";"REF_OMNIDIA";"CHET"
121106;"7310";"REF_OMNIDIA";"CHIL"
121110;"7313";"REF_OMNIDIA";"CHST"
121115;"7315";"REF_OMNIDIA";"CHLA"
121117;"7316";"REF_OMNIDIA";"CHYF"
121121;"7323";"REF_OMNIDIA";"CKST"
121128;"7327";"REF_OMNIDIA";"CLAP"
121130;"7328";"REF_OMNIDIA";"CLAT"
121133;"7330";"REF_OMNIDIA";"CLEP"
121136;"7332";"REF_OMNIDIA";"CLUN"
121140;"7337";"REF_OMNIDIA";"CMUE"
121142;"7343";"REF_OMNIDIA";"COBS"
121144;"7345";"REF_OMNIDIA";"COBT"
121150;"7347";"REF_OMNIDIA";"CPAU"
121152;"7348";"REF_OMNIDIA";"CPAE"
121156;"7358";"REF_OMNIDIA";"CREH"
121159;"7359";"REF_OMNIDIA";"CRUP"
121162;"7360";"REF_OMNIDIA";"CRUT"
121169;"7369";"REF_OMNIDIA";"CSTA"
121171;"7370";"REF_OMNIDIA";"CSAE"
121173;"7371";"REF_OMNIDIA";"CSUB"
121175;"7374";"REF_OMNIDIA";"CTRG"
121177;"7376";"REF_OMNIDIA";"CTMD"
121184;"7382";"REF_OMNIDIA";"CBAM"
121215;"9553";"REF_OMNIDIA";"DELP"
121217;"8785";"REF_OMNIDIA";"DELE"
121220;"8786";"REF_OMNIDIA";"DEVA"
121222;"8787";"REF_OMNIDIA";"DEKI"
121224;"8788";"REF_OMNIDIA";"DEXI"
121226;"8789";"REF_OMNIDIA";"DKUE"
121228;"8790";"REF_OMNIDIA";"DKRU"
121230;"8791";"REF_OMNIDIA";"DRAI"
121232;"8792";"REF_OMNIDIA";"DSUB"
121235;"8795";"REF_OMNIDIA";"DTCR"
121238;"8796";"REF_OMNIDIA";"DVAL"
121263;"7387";"REF_OMNIDIA";"DCBI"
121266;"7389";"REF_OMNIDIA";"DPER"
121273;"6624";"REF_OMNIDIA";"DMES"
121287;"7392";"REF_OMNIDIA";"DHUS"
121292;"9436";"REF_OMNIDIA";"DTML"
121329;"9381";"REF_OMNIDIA";"DIDY"
121335;"9517";"REF_OMNIDIA";"DIME"
121381;"7395";"REF_OMNIDIA";"DDID"
121391;"7400";"REF_OMNIDIA";"DINT"
121394;"7401";"REF_OMNIDIA";"DICL"
121396;"7403";"REF_OMNIDIA";"DMAU"
121398;"7404";"REF_OMNIDIA";"DMIN"
121402;"7407";"REF_OMNIDIA";"DOOV"
121404;"7408";"REF_OMNIDIA";"DOCU"
121407;"7409";"REF_OMNIDIA";"DOVA"
121413;"7412";"REF_OMNIDIA";"DPET"
121416;"7413";"REF_OMNIDIA";"DPSO"
121424;"7416";"REF_OMNIDIA";"DSRH"
121426;"7418";"REF_OMNIDIA";"DSTR"
121428;"7419";"REF_OMNIDIA";"DSBC"
121435;"7421";"REF_OMNIDIA";"DOBA"
121437;"7422";"REF_OMNIDIA";"DOCA"
121469;"8659";"REF_OMNIDIA";"EATE"
121479;"7425";"REF_OMNIDIA";"ENBR"
121484;"7427";"REF_OMNIDIA";"EELG"
121486;"7428";"REF_OMNIDIA";"ENFO"
121488;"7430";"REF_OMNIDIA";"EHEB"
121493;"7433";"REF_OMNIDIA";"ENLU"
121497;"7436";"REF_OMNIDIA";"ENMU"
121499;"7437";"REF_OMNIDIA";"ENNG"
121503;"7439";"REF_OMNIDIA";"ENPA"
121508;"7444";"REF_OMNIDIA";"ESBA"
121511;"7445";"REF_OMNIDIA";"ENTR"
121520;"8660";"REF_OMNIDIA";"EALA"
121523;"7449";"REF_OMNIDIA";"ECEN"
121527;"7454";"REF_OMNIDIA";"EPPO"
121532;"9460";"REF_OMNIDIA";"ENTO"
121534;"7456";"REF_OMNIDIA";"ENTE"
121547;"7458";"REF_OMNIDIA";"EAMI"
121549;"7459";"REF_OMNIDIA";"EAPO"
121552;"7460";"REF_OMNIDIA";"EAPR"
121554;"7461";"REF_OMNIDIA";"EASA"
121557;"7462";"REF_OMNIDIA";"EAMP"
121559;"7463";"REF_OMNIDIA";"EAAL"
121561;"7464";"REF_OMNIDIA";"EAAN"
121565;"7466";"REF_OMNIDIA";"EACA"
121567;"7467";"REF_OMNIDIA";"EACO"
121569;"7468";"REF_OMNIDIA";"EAGO"
121571;"7469";"REF_OMNIDIA";"EAIN"
121576;"7472";"REF_OMNIDIA";"EINT"
121579;"7474";"REF_OMNIDIA";"EOCE"
121581;"7476";"REF_OMNIDIA";"ESOR"
121584;"7477";"REF_OMNIDIA";"ESAM"
121586;"7478";"REF_OMNIDIA";"ESLA"
121588;"7479";"REF_OMNIDIA";"ETCA"
121591;"7481";"REF_OMNIDIA";"ETGR"
121594;"7482";"REF_OMNIDIA";"ETUR"
121652;"7490";"REF_OMNIDIA";"EALP"
121655;"7491";"REF_OMNIDIA";"EARD"
121662;"7496";"REF_OMNIDIA";"EBID"
121665;"7497";"REF_OMNIDIA";"EBDD"
121667;"7505";"REF_OMNIDIA";"EDEN"
121670;"7506";"REF_OMNIDIA";"EDIO"
121674;"7510";"REF_OMNIDIA";"EEGI"
121679;"7514";"REF_OMNIDIA";"EFAB"
121684;"7517";"REF_OMNIDIA";"EFLE"
121687;"7518";"REF_OMNIDIA";"EFBI"
121689;"7519";"REF_OMNIDIA";"EFEU"
121691;"7522";"REF_OMNIDIA";"EGLA"
121696;"7524";"REF_OMNIDIA";"EHEM"
121703;"7534";"REF_OMNIDIA";"EMES"
121705;"7538";"REF_OMNIDIA";"ENAE"
121712;"7542";"REF_OMNIDIA";"EPRC"
121716;"7547";"REF_OMNIDIA";"EPEC"
121718;"7548";"REF_OMNIDIA";"EPUN"
121721;"7556";"REF_OMNIDIA";"EPSF"
121724;"7559";"REF_OMNIDIA";"ERMO"
121733;"7566";"REF_OMNIDIA";"ESER"
121735;"7567";"REF_OMNIDIA";"ESTE"
121738;"7568";"REF_OMNIDIA";"ESOL"
121741;"7570";"REF_OMNIDIA";"ESTK"
121746;"7574";"REF_OMNIDIA";"ETRD"
121751;"7576";"REF_OMNIDIA";"EVHK"
121754;"7577";"REF_OMNIDIA";"EVHI"
121756;"7578";"REF_OMNIDIA";"EVEN"
121770;"7580";"REF_OMNIDIA";"FCRY"
121773;"7581";"REF_OMNIDIA";"FFOR"
121778;"7585";"REF_OMNIDIA";"FPFO"
