"ABRE";"DENOMINATIONS.SANS.AUTEUR";"FAMILLE";"GENRE";"ESPECE";"CodeValid";"CodeValidAnormale"
"ABAS";"ABAS";"CE";"ABAS";"ABAS";"ABAS";"ABAS"
"ACAN";"ACANTHOCERAS";"CE";"ACANTHOCERAS";"ACANTHOCERAS";"ACAN";"ACAN"
"ACAD";"ACANTHODISCUS";"CE";"ACANTHODISCUS";"ACANTHODISCUS";"ACAD";"ACAD"
"ACTP";"ACHNANTHEIOPSIS";"MO";"ACHNANTHEIOPSIS";"ACHNANTHEIOPSIS";"ACTP";"ACTP"
"ACHN";"ACHNANTHES";"MO";"ACHNANTHES";"ACHNANTHES";"ACHN";"ACHN"
"ACHD";"ACHNANTHIDIUM";"MO";"ACHNANTHIDIUM";"ACHNANTHIDIUM";"ACHD";"ACHD"
"ACTI";"ACTINELLA";"BR";"ACTINELLA";"ACTINELLA";"ACTI";"ACTI"
"ANLO";"ACTINELLOPSIS";"BR";"ACTINELLOPSIS";"ACTINELLOPSIS";"ANLO";"ANLO"
"ACTC";"ACTINOCYCLUS";"CE";"ACTINOCYCLUS";"ACTINOCYCLUS";"ACTC";"ACTC"
"ATYO";"ACTINODICTYON";"CE";"ACTINODICTYON";"ACTINODICTYON";"ATYO";"ATYO"
"ACTD";"ACTINODISCUS";"CE";"ACTINODISCUS";"ACTINODISCUS";"ACTD";"ACTD"
"ACTN";"ACTINOPTYCHUS";"CE";"ACTINOPTYCHUS";"ACTINOPTYCHUS";"ACTN";"ACTN"
"ADLF";"ADLAFIA";"NA";"ADLAFIA";"ADLAFIA";"ADLF";"ADLF"
"ADON";"ADONEIS";"AR";"ADONEIS";"ADONEIS";"ADON";"ADON"
"AFCY";"AFROCYMBELLA";"NA";"AFROCYMBELLA";"AFROCYMBELLA";"AFCY";"AFCY"
"AGGE";"AGGERICORONA";"CE";"AGGERICORONA";"AGGERICORONA";"AGGE";"AGGE"
"AILU";"AILURETTA";"CE";"AILURETTA";"AILURETTA";"AILU";"AILU"
"ALTA";"ALTANA";"NA";"ALTANA  ";"ALTANA";"ALTA";"ALTA"
"ALVF";"ALVEOFLEXUS";"CE";"ALVEOFLEXUS";"ALVEOFLEXUS";"ALVF";"ALVF"
"ALVP";"ALVEOLOPHORA";"CE";"ALVEOLOPHORA";"ALVEOLOPHORA";"ALVP";"ALVP"
"ALVV";"ALVEOVALLUM";"NA";"ALVEOVALLUM";"ALVEOVALLUM";"ALVV";"ALVV"
"ALVE";"ALVEUS";"NI";"ALVEUS";"ALVEUS";"ALVE";"ALVE"
"AMIL";"AMICULA";"NA";"AMICULA";"AMICULA";"AMIL";"AMIL"
"APCP";"AMPHICAMPA";"BR";"AMPHICAMPA";"AMPHICAMPA";"APCP";"APCP"
"APHC";"AMPHICOCCONEIS";"MO";"AMPHICOCCONEIS";"AMPHICOCCONEIS";"APHC";"APHC"
"AMPI";"AMPHIPLEURA";"NA";"AMPHIPLEURA";"AMPHIPLEURA";"AMPI";"AMPI"
"AMPO";"AMPHIPRORA";"SU";"AMPHIPRORA";"AMPHIPRORA";"AMPO";"AMPO"
"ARPH";"AMPHIRAPHIA";"NA";"AMPHIRAPHIA";"AMPHIRAPHIA";"ARPH";"ARPH"
"AMPT";"AMPHITETRAS";"CE";"AMPHITETRAS";"AMPHITETRAS";"AMPT";"AMPT"
"AMPH";"AMPHORA";"NA";"AMPHORA";"AMPHORA";"AMPH";"AMPH"
"APRT";"AMPHOROTIA";"BR";"AMPHOROTIA";"AMPHOROTIA";"APRT";"APRT"
"ANAU";"ANAULUS";"CE";"ANAULUS";"ANAULUS";"ANAU";"ANAU"
"ACRP";"ANCOROPSIS";"CE";"ANCOROPSIS";"ANCOROPSIS";"ACRP";"ACRP"
"ANDR";"ANDREWSIELLA";"AR";"ANDREWSIELLA";"ANDREWSIELLA";"ANDR";"ANDR"
"ANEU";"ANEUMASTUS";"NA";"ANEUMASTUS";"ANEUMASTUS";"ANEU";"ANEU"
"ANNE";"ANNELLUS";"CE";"ANNELLUS";"ANNELLUS";"ANNE";"ANNE"
"ANNU";"ANNULARIUS";"NA";"ANNULARIUS";"ANNULARIUS";"ANNU";"ANNU"
"ANOM";"ANOMOEONEIS";"NA";"ANOMOEONEIS";"ANOMOEONEIS";"ANOM";"ANOM"
"ANOT";"ANORTHONEIS";"MO";"ANORTHONEIS";"ANORTHONEIS";"ANOT";"ANOT"
"ANUL";"ANULOPLICATA";"CE";"ANULOPLICATA";"ANULOPLICATA";"ANUL";"ANUL"
"ARAC";"ARACHNOIDISCUS";"CE";"ARACHNOIDISCUS";"ARACHNOIDISCUS";"ARAC";"ARAC"
"ARNS";"ARANISCUS";"CE";"ARANISCUS";"ARANISCUS";"ARNS";"ARNS"
"ARGL";"ARCHAEGLADIOPSIS";"CE";"ARCHAEGLADIOPSIS";"ARCHAEGLADIOPSIS";"ARGL";"ARGL"
"AGNT";"ARCHAEGONIOTHECIUM";"CE";"ARCHAEGONIOTHECIUM";"ARCHAEGONIOTHECIUM";"AGNT";"AGNT"
"ARCB";"ARCHIBALDIA";"NI";"ARCHIBALDIA";"ARCHIBALDIA";"ARCB";"ARCB"
"ARCO";"ARCOCELLULUS";"CE";"ARCOCELLULUS";"ARCOCELLULUS";"ARCO";"ARCO"
"ARCT";"ARCUATASIGMA";"NA";"ARCUATASIGMA";"ARCUATASIGMA";"ARCT";"ARCT"
"ARCU";"ARCUS";"CE";"ARCUS";"ARCUS";"ARCU";"ARCU"
"ACUD";"ARCUSIDISCUS";"CE";"ARCUSIDISCUS";"ARCUSIDISCUS";"ACUD";"ACUD"
"ARDI";"ARDISSONEA";"AR";"ARDISSONEA";"ARDISSONEA";"ARDI";"ARDI"
"ASTT";"ASTARTIELLA";"NA";"ASTARTIELLA";"ASTARTIELLA";"ASTT";"ASTT"
"ASTE";"ASTERIONELLA";"AR";"ASTERIONELLA";"ASTERIONELLA";"ASTE";"ASTE"
"ASTN";"ASTERIONELLOPSIS";"AR";"ASTERIONELLOPSIS";"ASTERIONELLOPSIS";"ASTN";"ASTN"
"ASTL";"ASTEROLAMPRA";"CE";"ASTEROLAMPRA";"ASTEROLAMPRA";"ASTL";"ASTL"
"ASTP";"ASTEROMPHALUS";"CE";"ASTEROMPHALUS";"ASTEROMPHALUS";"ASTP";"ASTP"
"ATPL";"ASTEROPLANUS";"AR";"ASTEROPLANUS";"ASTEROPLANUS";"ATPL";"ATPL"
"ATSY";"ASTROSYNE";"AR";"ASTROSYNE";"ASTROSYNE";"ATSY";"ATSY"
"ATTH";"ATTHEYA";"CE";"ATTHEYA";"ATTHEYA";"ATTH";"ATTH"
"AULD";"AULACODISCUS";"CE";"AULACODISCUS";"AULACODISCUS";"AULD";"AULD"
"AULA";"AULACOSEIRA";"CE";"AULACOSEIRA";"AULACOSEIRA";"AULA";"AULA"
"AULI";"AULISCUS";"CE";"AULISCUS";"AULISCUS";"AULI";"AULI"
"AURI";"AURICULA";"SU";"AURICULA";"AURICULA";"AURI";"AURI"
"AUTA";"AUSTARIELLA";"NA";"AUSTARIELLA";"AUSTARIELLA";"AUTA";"AUTA"
"AUST";"AUSTRALODISCUS";"CE";"AUSTRALODISCUS";"AUSTRALODISCUS";"AUST";"AUST"
"AZPE";"AZPEITIA";"CE";"AZPEITIA";"AZPEITIA";"AZPE";"AZPE"
"AZPO";"AZPEITIOPSIS";"CE";"AZPEITIOPSIS";"AZPEITIOPSIS";"AZPO";"AZPO"
"BACI";"BACILLARIA";"NI";"BACILLARIA";"BACILLARIA";"BACI";"BACI"
"BACT";"BACTERIASTRUM";"CE";"BACTERIASTRUM";"BACTERIASTRUM";"BACT";"BACT"
"BARO";"BACTEROSIRA";"CE";"BACTEROSIRA";"BACTEROSIRA";"BARO";"BARO"
"BAIK";"BAIKALIA";"NA";"BAIKALIA ";"BAIKALIA ";"BAIK";"BAIK"
"BAXT";"BAXTERIOPSIS";"CE";"BAXTERIOPSIS";"BAXTERIOPSIS";"BAXT";"BAXT"
"BELL";"BELLEROCHEA";"CE";"BELLEROCHEA";"BELLEROCHEA";"BELL";"BELL"
"BELO";"BELONASTRUM";"AR";"BELONASTRUM";"BELONASTRUM";"BELO";"BELO"
"BENE";"BENETORUS";"CE";"BENETORUS";"BENETORUS";"BENE";"BENE"
"BENN";"BENNETTELLA";"MO";"BENNETTELLA";"BENNETTELLA";"BENN";"BENN"
"BERG";"BERGONIA";"CE";"BERGONIA";"BERGONIA";"BERG";"BERG"
"BERK";"BERKELEYA";"NA";"BERKELEYA";"BERKELEYA";"BERK";"BERK"
"BRKL";"BERKELLA";"NA";"BERKELLA";"BERKELLA";"BRKL";"BRKL"
"BICU";"BICUDOA";"BR";"BICUDOA";"BICUDOA";"BICU";"BICU"
"BIDU";"BIDDULPHIA";"CE";"BIDDULPHIA";"BIDDULPHIA";"BIDU";"BIDU"
"BDPP";"BIDDULPHIOPSIS";"CE";"BIDDULPHIOPSIS";"BIDDULPHIOPSIS";"BDPP";"BDPP"
"BIFI";"BIFIBULATIA";"SU";"BIFIBULATIA";"BIFIBULATIA";"BIFI";"BIFI"
"BIPL";"BIPALLA";"CE";"BIPALLA";"BIPALLA";"BIPL";"BIPL"
"BIRE";"BIREMIS";"NA";"BIREMIS";"BIREMIS";"BIRE";"BIRE"
"BLEA";"BLEAKELEYA";"AR";"BLEAKELEYA";"BLEAKELEYA";"BLEA";"BLEA"
"BLOC";"BLOCHIA";"CE";"BLOCHIA";"BLOCHIA";"BLOC";"BLOC"
"BORE";"BOREOZONACOLA";"NA";"BOREOZONACOLA";"BOREOZONACOLA";"BORE";"BORE"
"BRAC";"BRACHYSIRA";"NA";"BRACHYSIRA";"BRACHYSIRA";"BRAC";"BRAC"
"BRAN";"BRANDINIA";"AR";"BRANDINIA";"BRANDINIA";"BRAN";"BRAN"
"BRAS";"BRASSIEREA";"AR";"BRASSIEREA";"BRASSIEREA";"BRAS";"BRAS"
"BREB";"BREBISSONIA";"NA";"BREBISSONIA";"BREBISSONIA";"BREB";"BREB"
"BVLI";"BREVILINEA";"NA";"BREVILINEA";"BREVILINEA";"BVLI";"BVLI"
"BREV";"BREVISIRA";"CE";"BREVISIRA";"BREVISIRA";"BREV";"BREV"
"BRGG";"BRIGGERA";"CE";"BRIGGERA";"BRIGGERA";"BRGG";"BRGG"
"BRIG";"BRIGHTWELLIA";"CE";"BRIGHTWELLIA";"BRIGHTWELLIA";"BRIG";"BRIG"
"BROC";"BROCKMANNIELLA";"CE";"BROCKMANNIELLA";"BROCKMANNIELLA";"BROC";"BROC"
"BRUN";"BRUNIA";"CE";"BRUNIA";"BRUNIA";"BRUN";"BRUN"
"BRUL";"BRUNIELLA";"CE";"BRUNIELLA";"BRUNIELLA";"BRUL";"BRUL"
"BURY";"BURYATIA";"NA";"BURYATIA";"BURYATIA    ";"BURY";"BURY"
"CLMG";"CALLIMASTOGLOIA";"NA";"CALLIMASTOGLOIA";"CALLIMASTOGLOIA";"CLMG";"CLMG"
"CALO";"CALONEIS";"NA";"CALONEIS";"CALONEIS";"CALO";"CALO"
"CALY";"CALYPTRELLA";"CE";"CALYPTRELLA";"CALYPTRELLA";"CALY";"CALY"
"CPLD";"CAMPYLODISCUS";"SU";"CAMPYLODISCUS";"CAMPYLODISCUS";"CPLD";"CPLD"
"CPLN";"CAMPYLONEIS";"MO";"CAMPYLONEIS";"CAMPYLONEIS";"CPLN";"CPLN"
"CAPP";"CAMPYLOPYXIS";"NA";"CAMPYLOPYXIS";"CAMPYLOPYXIS";"CAPP";"CAPP"
"CPLS";"CAMPYLOSIRA";"CE";"CAMPYLOSIRA";"CAMPYLOSIRA";"CPLS";"CPLS"
"CPLO";"CAMPYLOSTYLUS";"AR";"CAMPYLOSTYLUS";"CAMPYLOSTYLUS";"CPLO";"CPLO"
"CAPA";"CAPARTOGRAMMA";"NA";"CAPARTOGRAMMA";"CAPARTOGRAMMA";"CAPA";"CAPA"
"CAPO";"CAPONEA";"NA";"CAPONEA";"CAPONEA";"CAPO";"CAPO"
"CARI";"CARINASIGMA";"NA";"CARINASIGMA";"CARINASIGMA";"CARI";"CARI"
"CSRD";"CASTORIDENS";"AR";"CASTORIDENS";"CASTORIDENS";"CSRD";"CSRD"
"CATA";"CATACOMBAS";"AR";"CATACOMBAS";"CATACOMBAS";"CATA";"CATA"
"CATN";"CATENULA";"NA";"CATENULA";"CATENULA";"CATN";"CATN"
"CTLU";"CATILLUS";"MO";"CATILLUS";"CATILLUS";"CTLU";"CTLU"
"CVNO";"CAVERNOSA";"CE";"CAVERNOSA";"CAVERNOSA";"CVNO";"CVNO"
"CAVI";"CAVINULA";"NA";"CAVINULA";"CAVINULA";"CAVI";"CAVI"
"CENT";"CENTRONELLA";"AR";"CENTRONELLA";"CENTRONELLA";"CENT";"CENT"
"CTPR";"CENTROPORUS";"CE";"CENTROPORUS";"CENTROPORUS";"CTPR";"CTPR"
"CRTG";"CERATANGULA";"CE";"CERATANGULA";"CERATANGULA";"CRTG";"CRTG"
"CRTL";"CERATAULINA";"CE";"CERATAULINA";"CERATAULINA";"CRTL";"CRTL"
"CRTU";"CERATAULUS";"CE";"CERATAULUS";"CERATAULUS";"CRTU";"CRTU"
"CRTD";"CERATODISCUS";"CE";"CERATODISCUS";"CERATODISCUS";"CRTD";"CRTD"
"CRTO";"CERATONEIS";"NI";"CERATONEIS";"CERATONEIS";"CRTO";"CRTO"
"CERA";"CERATONEIS";"AR";"CERATONEIS";"CERATONEIS";"CERA";"CERA"
"CTPO";"CERATOPHORA";"CE";"CERATOPHORA";"CERATOPHORA";"CTPO";"CTPO"
"CEST";"CESTODISCUS";"CE";"CESTODISCUS";"CESTODISCUS";"CEST";"CEST"
"CHAE";"CHAETOCEROS";"CE";"CHAETOCEROS";"CHAETOCEROS";"CHAE";"CHAE"
"CHAM";"CHAMAEPINNULARIA";"NA";"CHAMAEPINNULARIA";"CHAMAEPINNULARIA";"CHAM";"CHAM"
"CHAR";"CHARCOTIA";"CE";"CHARCOTIA";"CHARCOTIA";"CHTL";"CHTL"
"CHTL";"CHARCOTIELLA";"CE";"CHARCOTIELLA";"CHARCOTIELLA";"CHTL";"CHTL"
"CHAS";"CHASEA";"CE";"CHASEA";"CHASEA";"CHAS";"CHAS"
"CHLN";"CHELONICOLA";"NA";"CHELONICOLA";"CHELONICOLA";"CHLN";"CHLN"
"CHLD";"CHELONIODISCUS";"CE";"CHELONIODISCUS";"CHELONIODISCUS";"CHLD";"CHLD"
"CHOK";"CHOLNOKYELLA";"NA";"CHOLNOKYELLA";"CHOLNOKYELLA";"CHOK";"CHOK"
"CHRY";"CHRYSANTHEMODISCUS";"CE";"CHRYSANTHEMODISCUS";"CHRYSANTHEMODISCUS";"CHRY";"CHRY"
"CHUN";"CHUNIELLA";"NA";"CHUNIELLA";"CHUNIELLA";"CHUN";"CHUN"
"CIST";"CISTULA";"NA";"CISTULA";"CISTULA";"CIST";"CIST"
"CLDG";"CLADOGRAMMA";"CE";"CLADOGRAMMA";"CLADOGRAMMA";"CLDG";"CLDG"
"CLVL";"CLAVICULA";"AR";"CLAVICULA";"CLAVICULA";"CLVL";"CLVL"
"CLVR";"CLAVULARIA";"AR";"CLAVULARIA";"CLAVULARIA";"CLVR";"CLVR"
"CLMD";"CLIMACODIUM";"CE";"CLIMACODIUM";"CLIMACODIUM";"CLMD";"CLMD"
"CLMC";"CLIMACONEIS";"NA";"CLIMACONEIS";"CLIMACONEIS";"CLMC";"CLMC"
"CLSP";"CLIMACOSPHENIA";"AR";"CLIMACOSPHENIA";"CLIMACOSPHENIA";"CLSP";"CLSP"
"CLIP";"CLIPEOPARVUS";"CE";"CLIPEOPARVUS";"CLIPEOPARVUS";"CLIP";"CLIP"
"CCNP";"COCCONEIOPSIS";"NA";"COCCONEIOPSIS";"COCCONEIOPSIS";"CCNP";"CCNP"
"COCO";"COCCONEIS";"MO";"COCCONEIS";"COCCONEIS";"COCO";"COCO"
"CCHL";"COCHLEARISIGMA";"NA";"COCHLEARISIGMA";"COCHLEARISIGMA";"CCHL";"CCHL"
"COLL";"COLLICULOAMPHORA";"BR";"COLLICULOAMPHORA";"COLLICULOAMPHORA";"COLL";"COLL"
"CLUM";"COLLUMICYLINDRUS";"CE";"COLLUMICYLINDRUS";"COLLUMICYLINDRUS";"CLUM";"CLUM"
"COCD";"CONCENTRODISCUS";"CE";"CONCENTRODISCUS";"CONCENTRODISCUS";"COCD";"COCD"
"COCB";"CONTICRIBRA";"CE";"CONTICRIBRA";"CONTICRIBRA";"COCB";"COCB"
"CORB";"CORBELLIA";"NA";"CORBELLIA";"CORBELLIA";"CORB";"CORB"
"CORE";"CORETHRON";"CE";"CORETHRON";"CORETHRON";"CORE";"CORE"
"CORO";"CORONA";"CE";"CORONA";"CORONA";"CORO";"CORO"
"CRON";"CORONIA";"SU";"CORONIA";"CORONIA";"CRON";"CRON"
"CODP";"COSCINODISCOPSIS";"CE";"COSCINODISCOPSIS";"COSCINODISCOPSIS";"CODP";"CODP"
"COSC";"COSCINODISCUS";"CE";"COSCINODISCUS";"COSCINODISCUS";"COSC";"COSC"
"COSI";"COSCINOSIRA";"CE";"COSCINOSIRA";"COSCINOSIRA";"COSI";"COSI"
"CSMD";"COSMIODISCUS";"CE";"COSMIODISCUS";"COSMIODISCUS";"CSMD";"CSMD"
"COSM";"COSMIONEIS";"NA";"COSMIONEIS";"COSMIONEIS";"COSM";"COSM"
"COTS";"COSTASIGMA";"NA";"COSTASIGMA";"COSTASIGMA";"COTS";"COTS"
"COSR";"COSTERICARDIA";"NA";"COSTERICARDIA";"COSTERICARDIA";"COSR";"COSR"
"CTPX";"COSTOPYXIS";"CE";"COSTOPYXIS";"COSTOPYXIS";"CTPX";"CTPX"
"COTY";"COTYLEDON";"CE";"COTYLEDON";"COTYLEDON";"COTY";"COTY"
"COXI";"COXIA";"NA";"COXIA";"COXIA";"COXI";"COXI"
"CRAS";"CRASPEDODISCUS";"CE";"CRASPEDODISCUS";"CRASPEDODISCUS";"CRAS";"CRAS"
"CPDP";"CRASPEDOPLEURA";"NA";"CRASPEDOPLEURA";"CRASPEDOPLEURA";"CPDP";"CPDP"
"CRAP";"CRASPEDOPORUS";"CE";"CRASPEDOPORUS";"CRASPEDOPORUS";"CRAP";"CRAP"
"CPDT";"CRASPEDOSTAUROS";"NA";"CRASPEDOSTAUROS";"CRASPEDOSTAUROS";"CPDT";"CPDT"
"CCUF";"CRATERICULIFERA";"AR";"CRATERICULIFERA";"CRATERICULIFERA";"CCUF";"CCUF"
"CRPO";"CRATERIPORTULA";"CE";"CRATERIPORTULA";"CRATERIPORTULA";"CRPO";"CRPO"
"CRAT";"CRATICULA";"NA";"CRATICULA";"CRATICULA";"CRAT";"CRAT"
"CREA";"CREANIA";"AR";"CREANIA";"CREANIA";"CREA";"CREA"
"CRNT";"CRENOTIA";"MO";"CRENOTIA";"CRENOTIA";"CRNT";"CRNT"
"CRSW";"CRESWELLIA";"CE";"CRESWELLIA";"CRESWELLIA";"EPYX";"EPYX"
"CRIB";"CRIBRIONELLA";"CE";"CRIBRIONELLA ";"CRIBRIONELLA";"CRIB";"CRIB"
"CRCC";"CRUCICOSTULIFERA";"NA";"CRUCICOSTULIFERA";"CRUCICOSTULIFERA";"CRCC";"CRCC"
"CTNP";"CTENOPHORA";"AR";"CTENOPHORA";"CTENOPHORA";"CTNP";"CTNP"
"CULT";"CULTRIA subgenus generis Actinella";"BR";"CULTRIA SUBGENUS GENERIS ACTINELLA";"CULTRIA subgenus generis Actinella";"CULT";"CULT"
"CUNE";"CUNEOLUS";"NA";"CUNEOLUS";"CUNEOLUS";"CUNE";"CUNE"
"CUSS";"CUSSIA";"AR";"CUSSIA";"CUSSIA";"CUSS";"CUSS"
"CYCP";"CYCLOPHORA";"AR";"CYCLOPHORA";"CYCLOPHORA";"CYCP";"CYCP"
"CYSS";"CYCLOSTEPHANOPSIS";"CE";"CYCLOSTEPHANOPSIS";"CYCLOSTEPHANOPSIS";"CYSS";"CYSS"
"CCST";"CYCLOSTEPHANOS";"CE";"CYCLOSTEPHANOS";"CYCLOSTEPHANOS";"CCST";"CCST"
"CYCL";"CYCLOTELLA";"CE";"CYCLOTELLA";"CYCLOTELLA";"CYCL";"CYCL"
"CTBC";"CYCLOTUBICOALITUS";"CE";"CYCLOTUBICOALITUS";"CYCLOTUBICOALITUS";"CTBC";"CTBC"
"CLPY";"CYLINDROPYXIS";"CE";"CYLINDROPYXIS";"CYLINDROPYXIS";"CLPY";"CLPY"
"CYSP";"CYLINDROSPIRA";"CE";"CYLINDROSPIRA";"CYLINDROSPIRA";"CYSP";"CYSP"
"CYLI";"CYLINDROTHECA";"NI";"CYLINDROTHECA";"CYLINDROTHECA";"CRTO";"CRTO"
"CMTD";"CYMATODISCUS";"CE";"CYMATODISCUS";"CYMATODISCUS";"CMTD";"CMTD"
"CYMN";"CYMATONEIS";"NA";"CYMATONEIS";"CYMATONEIS";"CYMN";"CYMN"
"CMNI";"CYMATONITZSCHIA";"NI";"CYMATONITZSCHIA";"CYMATONITZSCHIA";"CMNI";"CMNI"
"CYMA";"CYMATOPLEURA";"SU";"CYMATOPLEURA";"CYMATOPLEURA";"CYMA";"CYMA"
"CYMT";"CYMATOSIRA";"CE";"CYMATOSIRA";"CYMATOSIRA";"CYMT";"CYMT"
"CMSL";"CYMATOSIRELLA";"CE";"CYMATOSIRELLA";"CYMATOSIRELLA";"CMSL";"CMSL"
"CYTT";"CYMATOTHECA";"CE";"CYMATOTHECA";"CYMATOTHECA";"CYTT";"CYTT"
"CYBG";"CYMBELGEIA";"NA";"CYMBELGEIA";"CYMBELGEIA";"CYBG";"CYBG"
"CYMB";"CYMBELLA";"NA";"CYMBELLA";"CYMBELLA";"CYMB";"CYMB"
"CYBF";"CYMBELLAFALSA";"NA";"CYMBELLAFALSA";"CYMBELLAFALSA";"CYBF";"CYBF"
"CYNI";"CYMBELLONITZSCHIA";"NI";"CYMBELLONITZSCHIA";"CYMBELLONITZSCHIA";"CYNI";"CYNI"
"CYMP";"CYMBELLOPSIS";"NA";"CYMBELLOPSIS";"CYMBELLOPSIS";"CYMP";"CYMP"
"CBPL";"CYMBOPLEURA";"NA";"CYMBOPLEURA";"CYMBOPLEURA";"CBPL";"CBPL"
"DACT";"DACTYLIOSOLEN";"CE";"DACTYLIOSOLEN";"DACTYLIOSOLEN";"DACT";"DACT"
"DECU";"DECUSSATA";"NA";"DECUSSATA";"DECUSSATA";"DECU";"DECU"
"DLCA";"DELICATA";"NA";"DELICATA";"DELICATA";"DLCA";"DLCA"
"DELP";"DELPHINEIS";"AR";"DELPHINEIS";"DELPHINEIS";"DELP";"DELP"
"DTCL";"DENTICELLA";"CE";"DENTICELLA";"DENTICELLA";"DTCL";"DTCL"
"DENT";"DENTICULA";"NI";"DENTICULA";"DENTICULA";"DENT";"DENT"
"DTLO";"DENTICULOPSIS";"NI";"DENTICULOPSIS";"DENTICULOPSIS";"DTLO";"DTLO"
"DESI";"DESIKANEIS";"AR";"DESIKANEIS";"DESIKANEIS";"DESI";"DESI"
"DESM";"DESMOGONIUM";"BR";"DESMOGONIUM";"DESMOGONIUM";"DESM";"DESM"
"DETO";"DETONIA";"AR";"DETONIA";"DETONIA";"DETO";"DETO"
"DETU";"DETONULA";"CE";"DETONULA";"DETONULA";"DETU";"DETU"
"DDMA";"DIADEMA";"NA";"DIADEMA";"DIADEMA";"DDMA";"DDMA"
"DIAD";"DIADEMOIDES";"NA";"DIADEMOIDES";"DIADEMOIDES";"DIAD";"DIAD"
"DIAM";"DIADESMIS";"NA";"DIADESMIS";"DIADESMIS";"DIAM";"DIAM"
"DIAT";"DIATOMA";"AR";"DIATOMA";"DIATOMA";"DIAT";"DIAT"
"DTML";"DIATOMELLA";"NA";"DIATOMELLA";"DIATOMELLA";"DTML";"DTML"
"DICK";"DICKENSONIAFORMA";"AR";"DICKENSONIAFORMA";"DICKENSONIAFORMA";"DICK";"DICK"
"DIKI";"DICKIEIA";"NA";"DICKIEIA";"DICKIEIA";"DIKI";"DIKI"
"DCLD";"DICLADIA";"CE";"DICLADIA";"DICLADIA";"DCLD";"DCLD"
"DCLP";"DICLADIOPSIS";"CE";"DICLADIOPSIS";"DICLADIOPSIS";"DCLP";"DCLP"
"DICT";"DICTYONEIS";"NA";"DICTYONEIS";"DICTYONEIS";"DICT";"DICT"
"DTPY";"DICTYOPYXIS";"CE";"DICTYOPYXIS";"DICTYOPYXIS";"DTPY";"DTPY"
"DIDY";"DIDYMOSPHENIA";"NA";"DIDYMOSPHENIA";"DIDYMOSPHENIA";"DIDY";"DIDY"
"DMRT";"DIMERACTIS";"NA";"DIMERACTIS";"DIMERACTIS";"DMRT";"DMRT"
"DIME";"DIMEREGRAMMA (DIMEROGRAMMA)";"CE";"DIMEREGRAMMA (DIMEROGRAMMA)";"DIMEREGRAMMA (DIMEROGRAMMA)";"DIME";"DIME"
"DMGP";"DIMEREGRAMMOPSIS";"CE";"DIMEREGRAMMOPSIS";"DIMEREGRAMMOPSIS";"DMGP";"DMGP"
"DMDL";"DIMIDIALIMBUS";"CE";"DIMIDIALIMBUS";"DIMIDIALIMBUS";"DMDL";"DMDL"
"DMDI";"DIMIDIATA";"NA";"DIMIDIATA";"DIMIDIATA";"DMDI";"DMDI"
"DIOM";"DIOMMATETRAS";"CE";"DIOMMATETRAS";"DIOMMATETRAS";"DIOM";"DIOM"
"DIPM";"DIPLOMENORA";"AR";"DIPLOMENORA";"DIPLOMENORA";"DIPM";"DIPM"
"DIPL";"DIPLONEIS";"NA";"DIPLONEIS";"DIPLONEIS";"DIPL";"DIPL"
"DIPR";"DIPRORA";"AR";"DIPRORA";"DIPRORA";"DIPR";"DIPR"
"DSCD";"DISCODISCUS";"CE";"DISCODISCUS";"DISCODISCUS";"DSCD";"DSCD"
"DISL";"DISCOPLEA";"CE";"DISCOPLEA";"DISCOPLEA";"DISL";"DISL"
"DISC";"DISCOSTELLA";"CE";"DISCOSTELLA";"DISCOSTELLA";"DISC";"DISC"
"DISS";"DISTEPHANOSIRA";"CE";"DISTEPHANOSIRA";"DISTEPHANOSIRA";"DISS";"DISS"
"DTRN";"DISTRIONELLA";"AR";"DISTRIONELLA";"DISTRIONELLA";"DTRN";"DTRN"
"DITY";"DITYLUM";"CE";"DITYLUM";"DITYLUM";"DITY";"DITY"
"DONK";"DONKINIA";"NA";"DONKINIA";"DONKINIA";"DONK";"DONK"
"DRUE";"DRUEHLAGO";"NA";"DRUEHLAGO";"DRUEHLAGO";"DRUE";"DRUE"
"DRUR";"DRURIDGIA";"CE";"DRURIDGIA";"DRURIDGIA";"DRUR";"DRUR"
"ECTD";"ECTODICTYON";"CE";"ECTODICTYON";"ECTODICTYON";"ECTD";"ECTD"
"EDTH";"Edtheriotia";"CE";"THERIOTIA";"Edtheriotia";"EDTH";"EDTH"
"EHRE";"EHRENBERGIA";"CE";"EHRENBERGIA";"EHRENBERGIA";"EHRE";"EHRE"
"EHRV";"EHRENBERGIULVA";"CE";"EHRENBERGIULVA";"EHRENBERGIULVA";"EHRV";"EHRV"
"EICO";"EILEENCOXIA";"NA";"EILEENCOXIA";"EILEENCOXIA";"EICO";"EICO"
"ELLE";"ELLERBECKIA";"CE";"ELLERBECKIA";"ELLERBECKIA";"ELLE";"ELLE"
"ENCY";"ENCYONEMA";"NA";"ENCYONEMA";"ENCYONEMA";"ENCY";"ENCY"
"ENCP";"ENCYONOPSIS";"NA";"ENCYONOPSIS";"ENCYONOPSIS";"ENCP";"ENCP"
"ENDI";"ENDICTYA";"CE";"ENDICTYA";"ENDICTYA";"ENDI";"ENDI"
"ENTG";"ENTOGONIA";"CE";"ENTOGONIA";"ENTOGONIA";"ENTG";"ENTG"
